Name,Major SN,Major Code,SubType Name,Sub Code
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 68,68
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 70,70
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 72,72
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 74,74
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 76,76
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 78,78
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 80,80
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 82,82
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 84,84
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 86,86
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 88,88
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 90,90
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 92,92
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 94,94
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 96,96
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 98,98
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 99,99
Bare Injection-Molded Tile,21,BI,FH/HD Tile Size 1,F1
Bare Injection-Molded Tile,21,BI,FH/HD Tile Size 2,F2
Bare Injection-Molded Tile,21,BI,FH/HD Tile Size 3,F3
Bare Injection-Molded Tile,21,BI,FH/HD Tile Size 4,F4
Bare Injection-Molded Tile,21,BI,FH/HD Tile Size 5,F5
Bare Injection-Molded Tile,21,BI,FH/HD Tile Size 6,F6
Bare Injection-Molded Tile,21,BI,FH/HD Tile Size 7,F7
Bare Injection-Molded Tile,21,BI,Special Tile Size 1,S1
Bare Injection-Molded Tile,21,BI,Special Tile Size 2,S2
Bare Injection-Molded Tile,21,BI,Special Tile Size 3,S3
Bare Injection-Molded Tile,21,BI,Special Tile Size 4,S4
Bare Injection-Molded Tile,21,BI,Special Tile Size 5,S5
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 0,00
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 2,02
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 4,04
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 6,06
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 8,08
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 10,10
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 12,12
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 14,14
