LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION,ATTRIBUTE-NAME[0],ATTRIBUTE-VALUE[0]
IC-LPG,C42F2A0D,C42F2A0D,LPGBT W 0xC42F2A0D,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000929,W LPGBT for 320EL10W1010088,lpGBT Location LD Engine,TRIG-W
IC-LPG,C429E332,C429E332,LPGBT DAQ 0xC429E332,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000930,DAQ LPGBT for 320EL10W1010089,lpGBT Location LD Engine,DAQ
IC-LPG,4CA861B9,4CA861B9,LPGBT E 0x4CA861B9,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000931,E LPGBT for 320EL10W1010089,lpGBT Location LD Engine,TRIG-E
IC-LPG,442D99FF,442D99FF,LPGBT W 0x442D99FF,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000932,W LPGBT for 320EL10W1010089,lpGBT Location LD Engine,TRIG-W
IC-LPG,ECAD5110,ECAD5110,LPGBT DAQ 0xECAD5110,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000933,DAQ LPGBT for 320EL10W1010090,lpGBT Location LD Engine,DAQ
IC-LPG,84AF4750,84AF4750,LPGBT E 0x84AF4750,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000934,E LPGBT for 320EL10W1010090,lpGBT Location LD Engine,TRIG-E
IC-LPG,0CAAE728,0CAAE728,LPGBT W 0x0CAAE728,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000935,W LPGBT for 320EL10W1010090,lpGBT Location LD Engine,TRIG-W
IC-LPG,EC296808,EC296808,LPGBT DAQ 0xEC296808,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000936,DAQ LPGBT for 320EL10W1010092,lpGBT Location LD Engine,DAQ
IC-LPG,4C2CA8AE,4C2CA8AE,LPGBT E 0x4C2CA8AE,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000937,E LPGBT for 320EL10W1010092,lpGBT Location LD Engine,TRIG-E
IC-LPG,4C2C37F2,4C2C37F2,LPGBT W 0x4C2C37F2,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000938,W LPGBT for 320EL10W1010092,lpGBT Location LD Engine,TRIG-W
IC-LPG,042F4CF1,042F4CF1,LPGBT DAQ 0x042F4CF1,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000939,DAQ LPGBT for 320EL10W1010093,lpGBT Location LD Engine,DAQ
