Test ID,ADC,slope,intercept,rsquared
193,WEST_PROBE_DC,1.07080078125,33.0078125,0.99999937620237
193,EAST_VMON_LVS1,1.0849609375,33.0078125,0.9999910882971518
193,EAST_VMON_LVS2,1.0810546875,33.984375,0.999996735900928
193,EAST_VMON_REF2,1.080078125,34.1796875,0.9999942775065953
193,EAST_VMON_REF0,1.08251953125,33.203125,0.9999912515065718
193,EAST_VMON_LVS0,1.0810546875,33.59375,0.9999975519236984
193,EAST_VMON_REF1,1.08203125,33.7890625,0.9999975563406039
193,EAST_PROBE_DC,1.08251953125,33.0078125,0.9999920653134569
208,WEST_VMON_LVS1,1.0869140625,32.421875,0.9999846624281152
208,WEST_VMON_LVS2,1.08544921875,32.8125,0.9999921080876317
208,WEST_VMON_REF2,1.083984375,33.203125,0.9999918838415401
208,WEST_VMON_REF0,1.0859375,32.03125,0.9999967651882499
208,WEST_VMON_LVS0,1.0859375,32.6171875,0.9999975738892253
208,WEST_VMON_REF1,1.0849609375,32.8125,0.9999967593624046
208,WEST_PROBE_DC,1.08447265625,33.0078125,0.9999920938680853
208,EAST_VMON_LVS1,1.07470703125,36.328125,0.9999523183597845
208,EAST_VMON_LVS2,1.07861328125,36.1328125,0.9999534827295925
208,EAST_VMON_REF2,1.07470703125,36.71875,0.9999696566119275
208,EAST_VMON_REF0,0.791015625,216.2109375,0.9328904674832006
208,EAST_VMON_LVS0,1.07861328125,34.765625,0.9999936471660622
208,EAST_VMON_REF1,1.078125,34.765625,0.9999827704606934
208,EAST_PROBE_DC,1.07763671875,34.9609375,0.999991993246406
238,WEST_VMON_LVS1,1.08447265625,31.8359375,0.9999864177479084
238,WEST_VMON_LVS2,1.08544921875,31.25,0.9999912986677655
238,WEST_VMON_REF2,1.08544921875,31.640625,0.9999977740633864
238,WEST_VMON_REF0,1.0849609375,31.8359375,0.9999967593624046
238,WEST_VMON_LVS0,1.08740234375,31.25,0.9999913298970153
238,WEST_VMON_REF1,1.0849609375,31.8359375,0.9999967593624046
238,WEST_PROBE_DC,1.0859375,31.640625,0.9999975738892253
238,EAST_VMON_LVS1,1.0771484375,35.15625,0.999952328780184
238,EAST_VMON_LVS2,1.07373046875,36.328125,0.9999547129545767
238,EAST_VMON_REF2,1.07421875,36.1328125,0.9999504156818669
238,EAST_VMON_REF0,0.7861328125,217.1875,0.9317156421544806
238,EAST_VMON_LVS0,1.07861328125,33.7890625,0.9999813515877382
238,EAST_VMON_REF1,1.078125,33.59375,0.9999803091464012
238,EAST_PROBE_DC,1.07666015625,33.984375,0.9999911560266125
251,WEST_VMON_LVS1,1.083984375,32.03125,0.9999862026090054
251,WEST_VMON_LVS2,1.08251953125,33.0078125,0.9999961343677494
251,WEST_VMON_REF2,1.08642578125,32.03125,0.9999913143034435
251,WEST_VMON_REF0,1.08544921875,32.2265625,0.9999912986677655
251,WEST_VMON_LVS0,1.083984375,32.03125,0.999994318675245
251,WEST_VMON_REF1,1.08642578125,31.25,0.9999929302355645
251,WEST_PROBE_DC,1.08251953125,32.6171875,0.9999961343677494
251,EAST_VMON_LVS1,1.07666015625,35.3515625,0.9999171195953958
251,EAST_VMON_LVS2,1.07421875,36.328125,0.9999570266401774
251,EAST_VMON_REF2,1.0732421875,36.5234375,0.999930456955753
251,EAST_VMON_REF0,0.7724609375,225.78125,0.9286366274194338
251,EAST_VMON_LVS0,1.078125,34.1796875,0.9999942567542621
251,EAST_VMON_REF1,1.080078125,33.3984375,0.9999820152412656
