Label ID,Full Label,Type Code,SN,Major Type ID,Sub Type ID,Time
2175,320TC9910030002,TC99,10030002,2,82,2024-03-14 09:35:27
2176,320TC9910030001,TC99,10030001,2,82,2024-03-14 09:35:27
2177,320BC9910090002,BC99,10090002,6,82,2024-03-14 09:35:27
2178,320MLF2WXIH0010,MLF2W,XIH0010,7,362,2024-03-14 09:35:27
2179,320WW11A1000001,WW11A1,000001,4,103,2024-03-14 09:35:27
2180,320MLF2CXTT0010,MLF2C,XTT0010,7,377,2024-03-14 09:35:27
2181,320WW30A2000008,WW30A2,000008,4,107,2024-03-14 09:35:27
2182,320WW30A2000009,WW30A2,000009,4,107,2024-03-14 09:35:27
2183,320WW30A2000004,WW30A2,000004,4,107,2024-03-14 09:35:27
2184,320WW30A2000005,WW30A2,000005,4,107,2024-03-14 09:35:27
2185,320WW30A2000006,WW30A2,000006,4,107,2024-03-14 09:35:27
2186,320WW30A2000007,WW30A2,000007,4,107,2024-03-14 09:35:27
2187,320WW30A2000001,WW30A2,000001,4,107,2024-03-14 09:35:27
2188,320WW30A2000002,WW30A2,000002,4,107,2024-03-14 09:35:27
2189,320WW30A2000003,WW30A2,000003,4,107,2024-03-14 09:35:27
2190,320MLF3WXSB0008,MLF3W,XSB0008,7,364,2024-03-14 09:35:27
2191,320MLF3WXSB0009,MLF3W,XSB0009,7,364,2024-03-14 09:35:27
2192,320TC9910370008,TC99,10370008,2,82,2024-03-14 09:35:27
2193,320TC9910370006,TC99,10370006,2,82,2024-03-14 09:35:27
2194,320TC9910370007,TC99,10370007,2,82,2024-03-14 09:35:27
2195,320TC9910370004,TC99,10370004,2,82,2024-03-14 09:35:27
2196,320TC9910370005,TC99,10370005,2,82,2024-03-14 09:35:27
2197,320TC9910370002,TC99,10370002,2,82,2024-03-14 09:35:27
2198,320TC9910370003,TC99,10370003,2,82,2024-03-14 09:35:27
2199,320TC9910370001,TC99,10370001,2,82,2024-03-14 09:35:27
2200,320MLF3WXSB0007,MLF3W,XSB0007,7,364,2024-03-14 09:35:27
